Category,ID,term,genes,adj_pval
Canonical pathway,1,Glucocorticoid Receptor Signaling,"RAP2A,RELA,POLR2D,YWHAH,HSPA14,SGK1,PIK3R1,HSPA1A,TAF7,HSPA5,TSC22D3,PTGES3,SMARCA4,GTF2A2,HSP90B1,NFKBIA,JUN,HSP90AB1,BAG1,PPP3R1,CHUK,MAP2K1,AGT,PIK3C2B,CCNH,ACTB,CREBBP,SMARCE1,POLR2K,SMARCD1,RAP1A,NCOA3,HSPA8,BRD7,CDKN1A,FKBP4,HSP90AA1,NCOR2,NRIP1",8.95E-09
Canonical pathway,2,Protein Ubiquitination Pathway,"CRYAB,HSPA14,UBE2A,DNAJB4,HSPA1A,CUL1,TRAP1,Ubb,DNAJC3,UBE2W,DNAJB2,HSPA5,DNAJA1,UBE2S,USP8,HSP90B1,HSP90AB1,BAG1,HSPE1,DNAJB1,HSPA4L,HSPH1,DNAJC19,USP9X,PSME2,HSPD1,HSPA8,UBE2H,UBE2G1,DNAJC18,UBE2E2,HSP90AA1,UBC",1.19E-08
Canonical pathway,3,Unfolded protein response,"HSPA14,DDIT3,INSIG1,HSPH1,HSPA1A,XBP1,DNAJC3,HSPA5,SEL1L,HSPA8,HSP90B1,SREBF1,MBTPS1",4.33E-08
Canonical pathway,4,NRF2-mediated Oxidative Stress Response,"RAP2A,PRDX1,DNAJB4,PIK3R1,DNAJC3,DNAJB2,DNAJA1,JUN,JUND,DNAJB1,MAP2K1,PIK3C2B,ACTB,DNAJC19,CREBBP,HERPUD1,RAP1A,GSTO1,STIP1,CAT,CCT7,DNAJC18,ACTG1,MGST3,GSTP1,FTH1",4.83E-08
Canonical pathway,5,PPAR Signaling,"RAP2A,RELA,CREBBP,SNW1,RAP1A,IL33,IL18,HSP90B1,NFKBIA,JUN,HSP90AB1,HSP90AA1,NCOR2,CHUK,NRIP1,MAP4K4,MAP2K1",1.04E-07
Canonical pathway,6,PI3K/AKT Signaling,"RAP2A,RELA,YWHAG,BAD,YWHAH,PPP2CA,PIK3R1,PPP2R5B,YWHAZ,MAPK8IP1,RAP1A,HSP90B1,NFKBIA,INPP5F,HSP90AB1,PPP2R4,CDKN1A,HSP90AA1,CHUK,MAP2K1",1.31E-07
Canonical pathway,7,HIPPO signaling,"YWHAG,YWHAH,PPP2CA,PPP2R5B,CUL1,YWHAZ,PPP1R14A,TRP53BP2,CSNK1E,ITCH,Ppp1cc,PPP1R10,LLGL1,PPP2R4,PPP1CA",3.51E-07
Canonical pathway,8,Telomerase Signaling,"RAP2A,PIK3C2B,HDAC2,PPP2CA,PIK3R1,PPP2R5B,RAP1A,PTGES3,ELF2,HSP90B1,HDAC3,HSP90AB1,PPP2R4,HDAC11,CDKN1A,HSP90AA1,MAP2K1",1.55E-06
Canonical pathway,9,EIF2 Signaling,"RAP2A,DDIT3,PIK3R1,EIF4A2,RPL26,HSPA5,EIF2B2,RPL35,Ppp1cc,EIF3D,PAIP1,NKX6-2,PPP1CA,MAP2K1,RPS24,PIK3C2B,ACTB,EIF3J1,RPS21,RAP1A,RPS6,SREBF1,RPL6,EIF3L,RPL38",4.31E-06
Canonical pathway,10,Phospholipase C Signaling,"PEBP1,RAP2A,RELA,HDAC2,RHOC,CREBBP,PPP1R14A,ARHGEF1,RAPGEF3,CREB5,RAP1A,GNG7,GNB1,GNB4,HDAC3,PPP3R1,HDAC11,GNG5,MAP2K1,RALGDS,GNG12,FNBP1,PLA2G12A",4.84E-06
Canonical pathway,11,ERK/MAPK Signaling,"RAP2A,PIK3C2B,YWHAG,BAD,YWHAH,PPP2CA,PIK3R1,CREBBP,PPP2R5B,YWHAZ,PPP1R14A,RAPGEF3,CREB5,RAP1A,BCAR1,DOCK1,ELF2,PPP1R10,PPP2R4,PPP1CA,MAP2K1,PLA2G12A",9.76E-06
