Category,ID,term,genes,adj_pval
Canonical pathway,1,EIF2 Signaling,"RPL24,ACTB,Rpl36a,EIF5B,RPS10,RPLP2,Rpl22l1,RPS21,RPL12,RPL26,HSPA5,RAP1A,EIF4E,RPS11,FAU,RPL14,RPS15,RPL35,RRAS2,PTPN11,EIF3D,AGO3,EIF3A,RPS27A,RPL6L,PPP1CA,RPL13A,EIF3K",5.08E-11
Canonical pathway,2,Superpathway of Cholesterol Biosynthesis,"FDPS,FDFT1,DHCR24,IDI1,HADHB,MSMO1,HMGCS1,CYP51,HADHA",1.90E-09
Canonical pathway,3,Protein Ubiquitination Pathway,"CRYAB,PSMD7,HSPH1,UBE2N,DNAJC19,BIRC6,PSMC4,PSMD3,HSPA5,DNAJA1,UBE3A,HSPA8,PSMB7,HSP90B1,HSP90AB1,UBE2G1,HSPE1,PSMA5,RPS27A,HSP90AA1,PSMD1,DNAJB1,BRCA1,PSMA2",4.46E-09
Canonical pathway,4,Phagosome Maturation,"CALR,PRDX1,TUBB4B,TUBB2A,ATP6V1A,PRDX6,CTSD,DYNLL1,RAB5A,ATP6V1F,ATP6V0D1,CTSB,VPS37B,TUBB4A,PRDX2",4.25E-08
Canonical pathway,5,Glycolysis I,"ENO1,PGAM1,ALDOA,GAPDH,BPGM,ALDOC",1.42E-07
Canonical pathway,6,mTOR Signaling,"RHEB,RAC1,RPS10,RPS21,RAP1A,EIF4E,RPS11,FAU,RPS15,RHOG,RRAS2,PTPN11,EIF3D,PPM1L,EIF3A,RPS27A,EIF3K",5.20E-07
Canonical pathway,7,Integrin Signaling,"PAK4,PFN1,TSPAN7,ARPC1B,ARPC5L,ACTB,RAC1,GSN,BCAR1,RAP1A,ARHGAP5,PARVB,RHOG,RRAS2,PTPN11,ARF4",2.89E-06
Canonical pathway,8,RhoGDI Signaling,"GNB1,ARHGAP5,GNB4,PAK4,RHOG,ARPC1B,ARPC5L,ACTB,GDI2,RAC1,ARHGAP35,WASF1,ARHGEF10",1.04E-05
Canonical pathway,9,Ketolysis,"HADHB,OXCT1,HADHA",1.11E-05
Canonical pathway,10,Glucocorticoid Receptor Signaling,"POLR2I,PBRM1,YWHAH,ACTB,RAC1,SMARCE1,POLR2K,HSPA5,RAP1A,PTGES3,HSPA8,HSP90B1,RRAS2,PTPN11,HSP90AB1,SMARCB1,FKBP4,HSP90AA1,PPP3CA",1.48E-05
Canonical pathway,11,Clathrin-mediated Endocytosis Signaling,"HSPA8,APOE,RAB5A,RAB4A,ARPC1B,PTPN11,ARPC5L,CLTA,ACTB,RAC1,SH3GLB1,RPS27A,STAM,PPP3CA",1.81E-05
Canonical pathway,12,Ephrin Receptor Signaling,"PAK4,ARPC1B,ARPC5L,RAC1,ACP1,RAP1A,BCAR1,GNB1,GNB4,EPHB1,SDCBP,RRAS2,PTPN11",2.07E-05
Canonical pathway,13,RhoA Signaling,"ARHGAP5,PFN1,LPAR1,ARPC1B,SEPT4,ARPC5L,ACTB,ARHGAP35,WASF1,SEPT2",2.83E-05
Cellular function,14,Myelination,"APOE,CERS2,FA2H,GABBR1,GPM6B,GPR17,KCNJ10,MAG,MAP1B,NTRK2,PLP1,PSAP,PTPN11,RAC1,RTN4",0.0000286
Canonical pathway,15,Telomerase Signaling,"HSP90B1,RRAS2,HDAC2,PTPN11,HSP90AB1,PPM1L,HSP90AA1,TPP1,RAP1A,PTGES3",3.03E-05
Canonical pathway,16,Axonal Guidance Signaling,"PAK4,PFN1,ARPC1B,TUBB4B,ARPC5L,TUBB2A,RAC1,BCAR1,RAP1A,EIF4E,GNB1,GNB4,EPHB1,RRAS2,SDCBP,NTRK2,SEMA3D,MAG,PTPN11,RTN4,ABLIM2,TUBB4A,PPP3CA,ADAMTS4",4.35E-05
Canonical pathway,17,Cell Cycle: G2/M DNA Damage Checkpoint Regulation,"YWHAQ,GADD45A,YWHAE,YWHAH,FBXL5,BRCA1",6.32E-05
Canonical pathway,18,Unfolded protein response,"HSPA8,CALR,HSP90B1,PDIA6,HSPH1,HSPA5",0.000128333
Cellular function,19,Cell movement,"APP,BCAN,BCAR1,CLCN3,CLDN11,CRYAB,EIF4E,FSCN1,HSP90AA1,HSP90AB1,HSPA8,LPAR1,MAP1B,Marcks,NDN,NTRK2,PAFAH1B1,PAK4,PDCD4,PIN1,PLP1,PTPN11,PTPRZ1,RAC1,RRAS2,RTN4,SEPT4,SLC12A2,YWHAE",0.000134
Cellular function,20,Morphology of cellular protrusions,"APOE,APP,CAPRIN1,CTSB,EPHB1,FA2H,GABBR1,GPM6B,HNRNPA2B1,KCNJ10,MAG,MAP1A,MAP1B,Mt3,NTRK2,PAFAH1B1,PLP1,PPP3CA,PTPRZ1,RAC1,TIMP2,UBE3A",0.00014
Cellular function,21,Axonogenesis,"ACTB,ANK3,APOE,APP,ARHGAP35,EPHB1,HSP90AA1,HSP90AB1,MAG,MAP1B,NDN,NTRK2,PAK4,PTPN11,PTPRZ1,RAB10,RAC1,RHOG,RTN4,SEMA3D",0.000168
Cellular function,22,Cell death of oligodendrocytes,"APP,NGFRAP1,GPM6B,HSP90AB1,PIN1,PLP1,PTPRZ1,QK",0.00018
Canonical pathway,23,DNA Methylation and Transcriptional Repression Signaling,"SAP18,CHD3,HDAC2,MBD3",0.00019468
Cellular function,24,Apoptosis of oligodendrocytes,"APP,BEX3,GPM6B,PIN1,PLP1,PTPRZ1,QKI",0.000198
Cellular function,25,Accumulation of lysosome,"APP,CTSB,CTSD",0.000223
Cellular function,26,Extension of axons,"APOE,AUTS2,BCAR1,HSP90AA1,HSP90AB1,MAG,MAP1B,NDN,NLGN3,PAFAH1B1,RTN4,SLAIN1",0.000228
Cellular function,27,Migration of cells,"APP,BCAR1,CLDN11,CRYAB,EIF4E,FSCN1,HSP90AA1,HSP90AB1,HSPA8,LPAR1,MAP1B,Marcks,NDN,PAFAH1B1,PAK4,PDCD4,PIN1,PLP1,PTPN11,PTPRZ1,RAC1,RRAS2,RTN4,SEPT4,SLC12A2,YWHAE",0.000263
Cellular function,28,Degeneration of neuroglia,"APOE,APP,CERS2,PSAP",0.000273
Cellular function,29,Degeneration of cells,"ANK3,APOE,APP,CERS2,CLCN3,CTSB,CTSD,GPM6B,KCNJ10,MAG,MANF,MAP1A,NTRK2,PLP1,PSAP,RAB1A,RHEB,SCARB2,TPP1",0.000323
Cellular function,30,Morphology of axons,"APOE,CTSB,EPHB1,FA2H,GABBR1,GPM6B,KCNJ10,MAG,MAP1B,Mt3,PLP1,PPP3CA,RAC1",0.000332
Cellular function,31,Growth of axons,"ACTB,APBB1,APP,CHST2,HSPA8,KIF1BP,MAG,MAP1B,NTRK2,PAK4,PJA2,RAC1,RTN4,SEMA3D,SEPT2,STX7",0.000406
Cellular function,32,Neurodegeneration of brain cells,"ANK3,APP,CLCN3,CTSB,MANF,MAP1A,NTRK2,PSAP,TPP1",0.000455
Cellular function,33,Extension of neurites,"APOE,AUTS2,BCAR1,HSP90AA1,HSP90AB1,MAG,MAP1B,NDN,NLGN3,PAFAH1B1,PJA2,RAC1,RTN4,SLAIN1",0.000487
Cellular function,34,Hypomyelination,"FDFT1,HSPA5,MAG,PLP1,QK",0.000508
Cellular function,35,Accumulation of vesicles,"APOE,APP,KIF1A,PCDH17",0.000527
Canonical pathway,36,Rac Signaling,"PAK4,RRAS2,CYFIP2,PTPN11,ARPC1B,ARPC5L,RAC1,WASF1,RAP1A",0.000659731
