ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Hspa1a,3.124143518,8.807467032,,1.75E-56,1.93E-52,
Sgk1,-1.34005017,10.53472687,,6.25E-47,3.45E-43,
Dnajb1,1.681344372,8.804194921,,2.29E-35,8.40E-32,
Hsp90ab1,0.66818342,10.55803016,,1.90E-26,5.03E-23,
Ddit4,-1.194750258,9.054288633,,2.28E-26,5.03E-23,
Hspa8,0.55845502,11.09317035,,2.11E-24,3.87E-21,
Hsp90aa1,0.588546637,10.9319328,,7.27E-23,1.14E-19,
Neat1,-1.036555352,9.61999585,,8.93E-21,1.23E-17,
Cryab,0.348374559,12.01169689,,2.24E-16,2.75E-13,
Nfkbia,-0.94622683,8.717043503,,3.75E-14,4.13E-11,
Ubc,0.351504127,11.43630937,,1.45E-13,1.46E-10,
Dnaja1,0.629135808,9.547678649,,1.63E-13,1.49E-10,
Cacybp,0.816810689,8.829644558,,6.87E-13,5.82E-10,
Marcks,1.140205629,8.41814256,,2.42E-12,1.78E-09,
Npy,0.89531348,8.562563662,,3.52E-11,2.43E-08,
Cdkn1a,-0.925221414,8.641517476,,1.08E-09,7.03E-07,
Kcna1,-0.438027465,10.11423925,,2.08E-09,1.21E-06,
Krit1,0.631740454,9.006934343,,2.20E-09,1.21E-06,
Avp,0.906842654,8.44371431,,2.33E-09,1.21E-06,
P4ha1,0.913242905,8.44426635,,2.33E-09,1.21E-06,
Nkx6-2,-0.425845591,9.939387938,,2.42E-09,1.21E-06,
Hsph1,0.793720371,8.577434666,,3.54E-09,1.70E-06,
Dynll1,0.509968641,9.653211016,,5.86E-09,2.58E-06,
Arrdc2,-0.764849098,8.553292494,,8.61E-09,3.65E-06,
Ahsa2,0.798258034,8.506352625,,2.03E-08,7.97E-06,
Tma16,-0.866752862,8.713368788,,2.60E-08,9.88E-06,
Srsf5,-0.551960482,9.048352763,,3.40E-08,1.25E-05,
Resp18,0.754770965,8.535343019,,4.06E-08,1.44E-05,
Gm26917,0.677657528,8.661297283,,6.69E-08,2.17E-05,
Hspe1,0.599614208,8.812828364,,7.57E-08,2.39E-05,
Slc24a5,-0.807809283,8.425409743,,7.85E-08,2.40E-05,
Arrdc3,-0.552084154,9.057449093,,8.17E-08,2.43E-05,
Creb5,-0.513352405,9.173483143,,9.39E-08,2.72E-05,
Mt1,-0.385946654,11.05243469,,1.00E-07,2.82E-05,
Phactr3,-0.55554057,9.064987097,,3.79E-07,0.000104373,
Hspa5,0.525045509,9.011186163,,5.10E-07,0.000137003,
Hspa4l,0.7066172,8.51727807,,5.71E-07,0.000149908,
Olig1,-0.325979222,10.65861885,,6.05E-07,0.000155143,
Agrp,0.774500402,8.413876522,,7.21E-07,0.000176681,
Siah2,0.734776245,8.453081314,,7.62E-07,0.000181755,
Fa2h,0.390784948,9.510808549,,2.31E-06,0.000529754,
Kctd3,-0.617520221,8.680537545,,2.51E-06,0.000563856,
Gstp1,0.437552999,9.40583071,,3.46E-06,0.00074822,
Itih5,-0.695834569,8.415115551,,3.79E-06,0.000803668,
Ly6h,0.7106071,8.43404546,,4.45E-06,0.000924753,
Ppp1r16b,-0.452685148,10.24160007,,4.76E-06,0.00097093,
Tob2,-0.626591313,8.514745547,,4.92E-06,0.000986537,
Plp1,0.158602072,15.95272698,,6.39E-06,0.0012147,
Herpud1,0.616812997,8.520476957,,8.58E-06,0.001603087,
Ddx5,-0.319925845,9.672405136,,8.85E-06,0.001624783,
Dpysl2,-0.377767337,10.43727308,,1.40E-05,0.002450614,
Ndn,0.586598895,8.569873621,,1.43E-05,0.00246802,
Ubb,0.169445273,12.14576512,,1.78E-05,0.003023723,
Pex5l,-0.395672682,9.806276367,,2.57E-05,0.004286512,
Pim3,-0.476155343,8.83239395,,2.84E-05,0.00465768,
Olig2,-0.517174489,8.79825252,,2.87E-05,0.00465768,
Manf,0.541659186,8.599535589,,2.94E-05,0.004689468,
Mtmr2,-0.459961296,8.839839723,,4.89E-05,0.00759015,
Csnk1e,-0.573455679,8.490174503,,5.05E-05,0.007688186,
Mt2,-0.517072439,9.106018563,,5.09E-05,0.007688186,
Tubb3,-0.44729408,9.475361082,,5.42E-05,0.008066708,
Scg2,-0.622288917,8.436944685,,6.26E-05,0.009201305,
Chga,0.619693081,8.417069395,,6.62E-05,0.009541399,
Plekhb1,0.322517861,9.44867019,,6.87E-05,0.009711193,
Ywhag,0.549581274,8.510985811,,7.16E-05,0.009992539,
Polr3e,-0.421211596,9.004606503,,8.82E-05,0.011997242,
Jmjd1c,-0.563455707,8.451483223,,0.000101091,0.013586887,
Jund,-0.240403748,10.19431589,,0.000108459,0.014401542,
Stip1,0.498993131,8.583213665,,0.000117292,0.015207913,
Rpl35,0.407444306,8.942923376,,0.000120077,0.015387954,
Mrpl57,-0.53482663,8.495569179,,0.000122811,0.015557474,
Clk4,0.492666697,8.574375037,,0.000131115,0.016420619,
Lysmd3,-0.591764905,8.404039319,,0.000147565,0.017751526,
Tmeff2,0.307532615,9.804650168,,0.000154581,0.017957945,
Fam195b,-0.40802589,8.83268941,,0.000174277,0.019816489,
Zfand5,-0.357743713,9.08412218,,0.000184332,0.020729863,
Ttyh2,-0.487036546,9.68560257,,0.000192016,0.021162047,
Trim59,0.336856357,9.242193483,,0.000210644,0.022759829,
Phlda1,0.599362981,8.656462767,,0.000213329,0.022826177,
Ifrd1,0.531490026,8.487789762,,0.000222269,0.023554064,
Git2,-0.519665577,8.479324686,,0.000237221,0.024899116,
Gng5,0.396492105,8.910782537,,0.00024418,0.02538785,
Fmr1,-0.492919101,8.533370474,,0.00024686,0.025426631,
Gm26699,-0.504971774,8.496811685,,0.000269461,0.027497503,
Cdc42ep2,0.343334025,9.256220948,,0.000272573,0.027559929,
Amotl2,0.550043786,8.426645858,,0.000301059,0.030163379,
Dbndd2,-0.208101368,10.7439107,,0.00030399,0.030182691,
Fam21,-0.406409016,8.813568556,,0.000314271,0.030924853,
