ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Hsph1,1.496096332,8.43806955,,3.66E-08,0.000131436,
Dnajb1,1.383688186,8.443468271,,4.30E-08,0.000131436,
Cacybp,1.019097911,8.71255832,,2.68E-06,0.006149178,
Ndn,1.189570873,8.402119988,,1.20E-05,0.021989599,
Hspa5,0.72464457,9.590308638,,5.60E-05,0.081386125,
Hspa8,0.47058673,11.29460706,,0.000238234,0.186205965,
Slc15a4,0.918763798,8.43985004,,0.000377567,0.203758489,
Brca1,0.839077522,8.792164471,,0.000458005,0.208699748,
Hmgcs1,0.817483181,9.012576122,,0.000585202,0.208699748,
Lrrn1,-0.769032285,8.81998726,,0.000590225,0.208699748,
Hsp90ab1,0.453325707,10.58133685,,0.000630734,0.208699748,
Apoe,0.448334192,10.6027186,,0.000759304,0.228520598,
Cst3,0.40886151,10.75678866,,0.000775903,0.228520598,
Btg1,1.022266882,8.623935259,,0.000797368,0.228520598,
Tcf7l2,0.60984294,9.841887527,,0.001171216,0.244903517,
Manf,0.689100397,8.8972456,,0.001297645,0.244903517,
Srsf5,-0.639243822,8.854434093,,0.001314501,0.244903517,
Nnat,0.480904662,9.631001383,,0.001335206,0.244903517,
Dynll1,0.380958119,11.72274661,,0.001462017,0.248299292,
Sox8,-0.620107779,9.415935579,,0.001978869,0.270340524,
Xpr1,0.773310158,8.46127358,,0.002195949,0.277965547,
Smarca5,0.6559986,8.793107555,,0.002219401,0.277965547,
Gatm,0.509203739,11.23550835,,0.002234699,0.277965547,
Gm26917,0.779259368,8.430369213,,0.002246861,0.277965547,
Hsp90aa1,0.470095599,9.745675642,,0.00233526,0.278138538,
Rab6a,0.555494222,9.136377657,,0.00281516,0.313930046,
Fdft1,0.823356931,8.401626136,,0.003013116,0.322047801,
Pcdh17,0.805960501,9.128324972,,0.003104305,0.322047801,
Jam3,0.591932261,9.102860929,,0.003606812,0.335927387,
Zfp638,0.74554247,8.452014766,,0.003634037,0.335927387,
Marcks,0.464514773,10.8089375,,0.003922698,0.352696709,
Ywhah,0.543092644,8.935507901,,0.004057403,0.354463003,
Dnaja1,0.3970553,10.12490251,,0.00457231,0.369623154,
Rab1a,0.533707369,8.950608401,,0.004603516,0.369623154,
Scd2,0.480767399,9.335186602,,0.004880817,0.369623154,
Slc12a2,0.739628896,8.528902238,,0.004989922,0.370288268,
Casc4,-0.637798539,8.605490878,,0.005519601,0.373211644,
Marcksl1,0.440602524,10.36607847,,0.005661179,0.373515663,
Fa2h,0.563803711,8.865820895,,0.005787599,0.378187441,
Calr,0.502461446,9.379374152,,0.006234704,0.380134516,
Bfsp2,0.536184826,9.639567235,,0.00623599,0.380134516,
Gsto1,0.817916472,8.851378058,,0.006773862,0.399696731,
Chst2,-0.569679389,8.994523852,,0.00692302,0.404401386,
Nktr,0.619500829,8.619964404,,0.007112689,0.41285109,
Hspe1,0.479310204,9.454923648,,0.007191814,0.414336366,
Hmgn1,0.550395854,8.741409493,,0.007304774,0.41609989,
Msl1,0.634377216,8.539318826,,0.00793439,0.4349673,
Lpar1,0.865027514,8.506467973,,0.008034666,0.4349673,
Arf4,0.528354162,9.524271904,,0.008062906,0.4349673,
Gps1,0.652935785,8.456432286,,0.008299998,0.4349673,
Stx12,0.529015715,8.831748675,,0.009104696,0.436378811,
Phlda1,0.786941284,8.479666528,,0.009128745,0.436378811,
St13,0.482501923,9.130237381,,0.009156068,0.436378811,
