ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Id2,-1.239432787,9.544291391,,8.88E-11,9.47E-07,
Cldn11,1.205329723,9.2209719,,1.99E-09,1.06E-05,
Chst2,-0.873011959,9.853214858,,1.19E-08,4.22E-05,
Dcn,-1.527417295,9.202424577,,1.58E-08,4.22E-05,
Hpgd,1.229397577,9.077224676,,5.92E-08,0.000126152,
Ptgds,0.831729321,9.616494958,,1.13E-07,0.000200994,
Dynll1,0.570942702,10.68564801,,4.79E-07,0.000728678,
Mlst8,-1.09657379,9.047545871,,9.04E-07,0.001204485,
Gm26523,1.085592293,9.113543568,,1.23E-06,0.001455476,
Olig2,-0.564775712,10.53126375,,1.44E-06,0.00152962,
Hspa5,0.672217413,9.839408304,,1.80E-06,0.001739605,
Map3k1,-1.021874649,9.18223591,,4.90E-06,0.004352929,
Trim25,-1.006608378,9.187153404,,5.68E-06,0.004654164,
Olig1,-0.360573577,11.88817224,,6.98E-06,0.005314677,
Xbp1,0.7771853,9.328521174,,1.34E-05,0.008628266,
Mobp,0.954263779,9.135835519,,1.37E-05,0.008628266,
Cirbp,-0.674109838,9.686164542,,1.38E-05,0.008628266,
AI854517,-0.683172987,9.541843228,,4.68E-05,0.025007954,
Kpna2,0.874084207,9.150072676,,4.70E-05,0.025007954,
Mal,0.925421145,9.071080065,,5.02E-05,0.025007954,
F3,-0.657189318,9.667310329,,5.08E-05,0.025007954,
Gjb6,-0.95456346,9.101893459,,5.16E-05,0.025007954,
Avp,0.913807584,9.094818528,,5.63E-05,0.026070125,
Traf4,-0.539897287,9.965040381,,7.46E-05,0.033120261,
P4ha1,0.843070857,9.162282781,,8.03E-05,0.03362561,
Sox4,0.588456845,9.725697479,,8.20E-05,0.03362561,
2810417H13Rik,-0.9095006,9.103178306,,9.38E-05,0.037038565,
Srsf9,0.761596242,9.230189216,,0.00012233,0.044485462,
Pdcd11,-0.681594931,9.125392454,,0.003151681,0.279948065,
Tor1a,-0.837919474,9.193981828,,0.000124775,0.044485462,
Ifit3b,-0.680267159,9.047655449,,0.003281536,0.286252639,
Dnajb1,0.7665725,9.223126888,,0.000125205,0.044485462,
Acrbp,0.582272567,8.996811098,,0.000142979,0.049161743,
Cflar,-0.6716871,9.075281586,,0.004606691,0.318848845,
S100a3,-0.671497817,9.075588918,,0.004606691,0.318848845,
Rab22a,-0.663005856,9.082037392,,0.005103955,0.325199976,
Pvrl4,-0.662078094,9.039124386,,0.003628791,0.290821668,
Gm26917,0.724566675,9.262235247,,0.000151327,0.049669497,
Leo1,-0.656156013,9.129809833,,0.004293348,0.313443774,
Cdkal1,-0.655627046,9.088329824,,0.005552253,0.329397243,
Supt7l,-0.653540591,9.066966916,,0.005655286,0.329397243,
Acbd4,-0.652206019,9.045449818,,0.004772402,0.321889904,
Klf10,-0.648615077,9.045052202,,0.004772402,0.321889904,
Plp1,0.491015944,10.30168575,,0.000153776,0.049669497,
Elp6,-0.637093714,9.079304658,,0.006940885,0.379399446,
Htra3,-0.636216012,9.029796303,,0.003797206,0.296360054,
Pknox2,-0.635553489,9.058461577,,0.006899674,0.379399446,
Cnot2,-0.630494642,9.185438659,,0.003813577,0.296360054,
Rpusd3,-0.629759134,9.036746833,,0.005371885,0.329397243,
Egr1,-0.629314744,9.085664507,,0.00747768,0.396628026,
Fam58b,-0.83693009,9.171946679,,0.000179787,0.056363116,
Zhx1,-0.626101837,9.064644584,,0.007832789,0.403331898,
Utp14a,-0.621516754,9.043229395,,0.006907473,0.379399446,
Hsp90ab1,0.398911186,10.5179825,,0.000188865,0.057517617,
Cluap1,-0.620543697,9.071224889,,0.008664897,0.418136572,
Gmeb1,-0.870643354,9.062591044,,0.000213158,0.063112459,
Rasl11a,-0.617626479,9.151718964,,0.00598555,0.343010652,
Tlcd1,-0.613154333,9.209309607,,0.003769686,0.296360054,
Pigb,-0.612247299,9.021251749,,0.003589837,0.290821668,
Cap1,-0.611669902,9.049475052,,0.008341791,0.411644195,
Ube2w,0.692956431,9.263018543,,0.00029674,0.085485064,
Xpa,-0.609927031,9.083948268,,0.01002403,0.443344975,
B3gnt5,-0.606747013,9.027965117,,0.005752457,0.333236106,
Pold2,-0.605818753,9.144225681,,0.007570307,0.397497082,
Atf1,-0.60285576,9.090240226,,0.010558611,0.445062859,
Pts,-0.602259362,9.090621442,,0.010558611,0.445062859,
Sbsn,-0.601205469,9.062662633,,0.010794274,0.449063246,
D3Ertd751e,-0.595706598,9.069428093,,0.011796308,0.463202885,
Irgm1,-0.594933521,9.069139294,,0.011796308,0.463202885,
Tmem14a,-0.5930047,9.161960832,,0.00764532,0.397771736,
Slc12a4,-0.591787992,9.136167508,,0.009585382,0.436626447,
Ifit3,-0.591112047,9.041160114,,0.00994682,0.442390867,
Rtp4,-0.590748008,9.075523484,,0.012652853,0.471562096,
Mre11a,-0.582542396,9.012329387,,0.002704868,0.259740465,
Phf20,-0.58001439,9.121404811,,0.012043802,0.464769888,
Btbd17,-0.578972361,9.088159441,,0.013965858,0.482041425,
Zbtb34,-0.577196657,9.019141587,,0.005611539,0.329397243,
Slc1a4,-0.572845841,9.06049123,,0.014796981,0.489022623,
Hmbs,-0.571940629,9.100296803,,0.014818867,0.489022623,
Apc,-0.570414961,9.171895656,,0.009495497,0.436260767,
Agap1,-0.569768527,9.209784975,,0.007110262,0.384712087,
Trib1,-0.568703471,9.310594744,,0.002848259,0.266312235,
Mrps10,-0.568111281,9.107288233,,0.015100793,0.48938812,
Dusp15,-0.567988984,9.215274101,,0.006998667,0.380606102,
Elfn2,-0.566751156,9.10689613,,0.015100793,0.48938812,
Med19,-0.566064249,9.18397915,,0.009296572,0.430835497,
Evi5,-0.565536316,9.280883158,,0.003791384,0.296360054,
